"track_id","locale","setting_name","setting_value","setting_type"
"85","pt_BR","title","PALMEIRA DOS ÍNDIOS","string"
"85","pt_BR","abbrev","PAL","string"
"85","pt_BR","policy","<object id=""198b59fa-398a-b491-b879-7a9f1883ba9a"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"85","pt_BR","identifyType","\N","string"
"86","pt_BR","title","PENEDO","string"
"86","pt_BR","abbrev","PEN","string"
"86","pt_BR","policy","<object id=""e8ead9d9-eae9-b7a7-68cb-faa809998b95"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"86","pt_BR","identifyType","\N","string"
"87","pt_BR","title","PIRANHAS","string"
"87","pt_BR","abbrev","PIR","string"
"87","pt_BR","policy","<object id=""da8aa868-3808-95a3-7b58-7b9c488d8fb2"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"87","pt_BR","identifyType","\N","string"
"88","pt_BR","title","SANTANA DO IPANEMA","string"
"88","pt_BR","abbrev","SAN","string"
"88","pt_BR","policy","<object id=""f8f86a59-990a-a1b0-1858-5aae2981ac89"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"88","pt_BR","identifyType","\N","string"
"89","pt_BR","title","SÃO MIGUEL","string"
"89","pt_BR","abbrev","SAM","string"
"89","pt_BR","policy","<object id=""2bf9e9e8-fbab-91bc-d9f8-a8aea9bebc92"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"89","pt_BR","identifyType","\N","string"
"90","pt_BR","title","SATUBA","string"
"90","pt_BR","abbrev","SAT","string"
"90","pt_BR","policy","<object id=""db99488a-1a7a-8cb6-29c9-7bb808a78294"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"90","pt_BR","identifyType","\N","string"
"91","pt_BR","abbrev","ARA","string"
"91","pt_BR","identifyType","\N","string"
"92","pt_BR","title","MACEIÓ","string"
"92","pt_BR","abbrev","MAC","string"
"92","pt_BR","policy","<object id=""6b89e838-8ba9-afa3-8b9a-88836887a29e"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"92","pt_BR","identifyType","\N","string"
"93","pt_BR","title","MARAGOGI","string"
"93","pt_BR","abbrev","MAR","string"
"93","pt_BR","policy","<object id=""7ad8882a-19e8-ada9-5aea-a9848bb0ad87"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"93","pt_BR","identifyType","\N","string"
"94","pt_BR","title","MARECHAL DEODORO","string"
"94","pt_BR","abbrev","MAL","string"
"94","pt_BR","identifyType","\N","string"
"95","pt_BR","title","MURICI","string"
"95","pt_BR","abbrev","MUR","string"
"95","pt_BR","policy","<object id=""992a680a-6829-8981-5898-1bb13996af91"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"95","pt_BR","identifyType","\N","string"
"96","pt_BR","title","PALMEIRA DOS ÍNDIOS","string"
"96","pt_BR","abbrev","PAL","string"
"96","pt_BR","policy","<object id=""6bea6ae9-fb0a-8a93-8b09-0ba61ab3b685"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"96","pt_BR","identifyType","\N","string"
"97","pt_BR","title","PENEDO","string"
"97","pt_BR","abbrev","PEN","string"
"97","pt_BR","policy","<object id=""4bab6b9b-5b0b-a792-39e8-0abc5b988482"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"97","pt_BR","identifyType","\N","string"
